name,height_m,height_ft,grid_ref,grid_ref_xy,xcoord,ycoord,munro_id
Beinn Bhrotain,1157,3796,NN954922,NN 95413 92292,295413,792292,149
Carn a' Mhaim,1037,3402,NN994951,NN 99458 95199,299458,795199,150
Ben Macdui [Beinn Macduibh],1309,4295,NN988989,NN 98899 98943,298899,798943,151
Cairn Gorm,1244.8,4084,NJ005040,NJ 00516 04065,300516,804065,152
Bynack More,1090,3576,NJ041063,NJ 04190 06373,304190,806373,153
Beinn Mheadhoin,1182.9,3881,NJ024016,NJ 02460 01695,302460,801695,154
Derry Cairngorm,1155,3789,NO017980,NO 01734 98032,301734,798032,155
Beinn Bhreac,931,3054,NO058970,NO 05870 97075,305870,797075,156
Beinn a' Chaorainn,1083,3553,NJ045013,NJ 04515 01360,304515,801360,157
Leabaidh an Daimh Bhuidhe (Ben Avon),1172,3845,NJ131018,NJ 13193 01845,313193,801845,158
Beinn a' Bhuird North Top,1197,3927,NJ092006,NJ 09231 00621,309231,800621,159
Geal Charn,926,3038,NN561987,NN 56144 98768,256144,798768,160
Carn Dearg,945.7,3103,NH635023,NH 63568 02398,263568,802398,161
A' Chailleach,929.3,3049,NH681041,NH 68110 04178,268110,804178,162
Carn Sgulain,920.3,3019,NH683058,NH 68302 05821,268302,805821,163
Creag Meagaidh,1128.1,3701,NN418875,NN 41839 87545,241839,787545,164
Stob Poite Coire Ardair,1054,3458,NN428888,NN 42884 88845,242884,788845,165
Carn Liath,1006,3301,NN472903,NN 47229 90325,247229,790325,166
Beinn a' Chaorainn,1049.1,3442,NN386850,NN 38605 85062,238605,785062,167
Beinn Teallach,914.6,3001,NN361859,NN 36136 85973,236136,785973,168
Gleouraich,1035,3396,NH039053,NH 03945 05345,203945,805345,169
Sgurr a' Mhaoraich,1027,3369,NG983065,NG 98392 06581,198392,806581,170
Spidean Mialach,996,3268,NH065043,NH 06592 04306,206592,804306,171
The Saddle,1011.5,3319,NG936131,NG 93610 13124,193610,813124,172
Sgurr na Sgine,946,3104,NG946113,NG 94618 11368,194618,811368,173
Creag a' Mhaim,946.2,3104,NH087077,NH 08790 07772,208790,807772,174
